Review ID,Review Text
1,"First of all, it's a great honor to be part of this special course. I learned a lot, really. I'm an ICT teacher for technology although we don't have the best technology in the Philippines but we can absolutely use the tools you've provided and taught us. I enjoyed this course sooooooooo much."
2,"I've taken and finished part 1 and part 2 of this course. There is a ton of information and skills learned. The practice problems are not necessary for your final grade, but the quizzes and mini-projects are. I really recommend doing the practice problems as they help to pound in some fundamentals that are beyond syntax. In fact, I went and practiced much of these in both codeskulptor and in the python interpreter using python 2 and 3 using tkinter as my gui in the latter cases. With this in mind I went ahead and saved the pages that had the practice problems because they are that good for rehearsing.
The pace of the course may seem slow at first, but it quickly gains momentum and at times can be moderately fast, that's why I'm going to say again, do the practice problems and devote enough time to it while it is slow, it will make everything that much easier in the long run.
I had only grabbed a basic feel of programming and python using codecademy right before enrollment of this class, it was helpful to do, but there is so much more covered in these courses. At this point I'm now able to dive into other peoples codes, while there is much to learn still, I can contribute to some projects and write much of my own.
I tried out several other classes for programming at the same time and felt the structure here made more sense and was better targeted for the goal of both learning python and transferable programming techniques. Sad to say that I dropped out of all other classes because I had one problem or another with them, but did not have any problem with these guys here. I trust anything from these guys and am now going for the full specialization.
Careful on later quizzes, as they start expecting that you pay attention and look at provided documentation and try some things out, some trick questions are about, you'll find them as ""technically this is it"", just keep in mind about how the code is evaluating and what the goal of the question is for which ""technically"" you are dealing with.
During early stages of these (part1 and part2) courses, my wife was getting on my case about wasting time, but now she sees the programs I'm writing and wrote both in later stages of these courses and on my own that she started drilling me to get into my lessons and write some programs so that one day I can make her more money, basically, she's proud, it's become more of a family thing for them to look at what I'm making and make suggestions.
As I write this I have three programs, out of the dozens I've written on my own, running in the background, handling bitcoin price and address monitoring, handling transactions, making and using new key pairs for said transactions, saving and backing up files, all in python. I've also made some simple simulators and mini-games all from scratch, with the foundation I have gotten from here.
Thanks for reading, I definitely recommend this course and think everyone needs to at least learn this much logic as the minimum for everyday life.

IIPP1 += 1
IIPP2 += 1"
3,"This course is very well structured, guiding you through the basics of Python. Some big pros for the course:

- Engaging profs explain things clearly and and are entertaining, particularly Joe Warren and Scott Rixner
- They have created a simple browser-based Python programming environment for students to use--so no compilers or environments to download, you can create, run, and save your code via your browser...this makes it easy to just focus on learning to code
- Each of the weekly assignments is focused on creating games (which get more complex), making it fun & interesting

Only a few cons:

- Because the assignments are games, I felt the coding topics we learned were geared towards visual games--thus, quite a bit about drawing objects on the screen and making them move around. As I was not interested in using Python for visual apps (though interesting for exercises), I would have preferred to spend more time on other concepts.
- The material on class methods came towards the end and was brief, I would have liked to have seen it sooner and worked with it more

All in all, highly recommended! The instructors have just announced a couple more CS MOOCs from Rice, and I expect them to be equally well thought out and instructive."
4,"I had an excellent time in this class!

I have taken several other programming classes before, but would not classify myself as a computer scientist or software engineer by any means. Compared to classes I took in University, this course did a substantially better job of laying out basic concepts, explaining their functionality and pitfalls, and giving a number of programming examples to explore how they work even further.

The opening weeks start off with basic concepts, and very much feels geared toward a novice programmer. This is a good thing! While I may have already understood the concepts in other languages, I really appreciated the earnestness with which the fundamentals were covered. I feel like other classes tend to breeze through easier concepts to get to more complex concepts, but this means that if someone doesn't grasp the basics, they will struggle later. This class avoids that by spending adequate time at each step of the way.

The notion of being able to write a game after 8-9 weeks after learning a new language from scratch was not only intriguing, but very doable! The mix of lecture videos, quizzes, and mini-projects help give students a well-rounded understanding of the material, which I greatly preferred over having one midterm and one final. Simply put, they teach you to program by having you actually program!

The forums are an excellent resource, and the additional practice examples are a great way to really dive in to the concepts and understand them better. The two things I wish I did more of as a student were:

1) Do all of the practice examples

2) Participate more in the forums

I took this course for training at my job, which is great because I was able to do the materials in my own time, and wasn't stuck to such a stringent schedule. Given that I had to do the course during work hours, it precluded me from diving in to some more extracurricular aspects of the class (practice examples, adding features to my mini-projects), but aside from that, the class was very manageable within a work week.

PROS:

- Excellent coverage of Python from basic concepts to writing a working game

- Mini-projects are nearly all games, so the programming is fun!

- Can do the course work on your own time

- FREE

- Flexible, easy to use SimpleGUI

- The entire class is online, and no files need to be submitted - just URLs that contain your code

CONS:

- None come to mind!

- Seriously, nothing. Even with some programming experience, the class didn't feel like it lagged, and it never pushed forward too far to make it stressful. The whole class stayed fun and lighthearted, and serves as an excellent Introduction to Programming class (with better results than most!)

Synopsis: The class is very worth your time!"
5,"With a lot of new instructors teaching online, and new platforms, I believe the diversity is to increase the competition, and more successful platforms/classes will appear. However, although this course is a little old, it provides you with exercises, exam-like questions (really great questions), project assignments and you are graded by another peer for your project assignments, and you do not get this on many other platforms or with other courses.

What's even greater is, all other students/learners are willing to help or comment on your assignment. I have taken courses from other platforms and instructors, but none of them provided this type of practice for me, and I believe practice is almost everything in learning, especially when it comes to learning a programming language.

Also, the instructors here knew what to do and how to do it. It is clear that they have a certain timetable and lesson plan for teaching the contents, and it helps a lot with the process. Just like real classes, I've always had many questions in my head, but the answers were either provided in the videos, or I was helped along the way with the exercises/projects, or I was encouraged to make some research on what I was looking for. I don't think online teaching gets any better than this. However, I must admit, as a non-native speaker of English, I had a lot of difficulty in understanding some instructions on assignments. :) Yes, I can speak/write English very well, but I was not taught any school subjects in English.

Before taking the first part in An Introduction to Interactive Programming in Python, I had no previous knowledge on programming languages. I took the first part a year ago, and now I'm taking the second part. I felt the need to come back to this course because of all the advantages I mentioned above. In addition to those, I didn't feel any good at problem solving. This course was great at pushing me towards solving different problems, thinking analytically and teaching me how to compute for the exercises along the way. Teaching some core concepts should be easy, but with the exercises and their ways of using/teaching algorithms, how to use computations for different problems, I am now confident to say that I have a better understanding of programming languages and how to write an application or solve problems upon encountering one when writing code.

One more thing, they are fun to watch. Sometimes it gets too analytical, beyond my Mathematics knowledge, but they are certainly fun to watch. :)

Anyone will surely learn a lot from this course, however, I had difficulty for some of the assignments, and some of them, I believe, were due to my lack of knowledge in Math, and some of them were because I am not a native speaker of English. So, if there is any beginner out there, just like me, with zero knowledge on programming, reading this comment, if you do not have the dedication, you might feel a little hesitant for some exercises in this course, but the effort you put into this course will pay off ten folded."
6,"I really liked Profs Warren and Rixner's way of delivering the course, and the use of game design is a very interesting way to get the message of programming across and also to provide a means of practicing the material taught in the course. The peer-review system remains one of the best I have seen in Coursera to date, with the requirements clear and easy for everyone (both marker and student) to understand. It is also easy to review assignments and find out why marks were deducted, as well as columns allowing the reviewer to add comments and suggestions.

This course is, however, not quite as basic as the course information implies! I took quite a lot of time each week just to understand the game template and to figure out how to make the game work. Some prior background in programming might have helped - I had zero experience prior to this course (nonetheless I managed to complete it!)."
7,"This is a great introduction to MOOC's and to programming in general. I am a programmer with many, many years of experience (hair grayer than Joe's). I wanted to see what this MOOC thing was about and chose their class as I had never taken a formal class in Python and wanted to write a version of one of my childhood games - Asteroids.

First, Dr. Rixner has written a great development tool, CodeSkulptor, which by its nature of being in a hosted/cloud environment allows anyone to take the class from anywhere - shared machine, home computer, etc. Is it Enterprise capable? No, but it does allow almost any student with a basic internet connection the ability to focus on the code and the results without worrying about their environment. I think this sets a great bar for any MOOC class trying to teach such a wide range of students.

Second, the course teaches some of the most fundamental, but important concepts of programming. They did this without losing site of the end result of what they were wanting to accomplish breaking up the class material in a way which started with the basics and then gently introducing major concepts of both OO Programming, the Python language and in Game programming.

The focus here is on Introduction to the core building blocks and some of the best practices you will use time and time again. I particularly liked their introduction and reinforcement of Lists, Dictionaries and Sets without getting hung up in the algorithms behind it. I also liked how they would go thru and cover common mistakes and introduce the ideas of best practices.

Will you cover advanced topics such as Inheritance, Pickling, Profiling? No, but what they teach here will give any person the basic building blocks to allow them to move on as they need. They also have done a great job in selecting and building upon core ideas in the projects such that the final project, RiceRocks - a clone of Asteroids, happens naturally. Most Intro classes I've taken over the years have never given such an immediate and positive sense of accomplishment.

And last of all, they did a great job in making this a fun class. It is obvious that these men spent a lot of time developing the material.

Take this class if you want to learn a little about programming, take this class if you want to learn a little about Python, take this class if you want to learn a little about gaming programming, or be like me and take this class as a fun diversion to see what this MOOC thing is about."
8,"It is both a sad and a happy moment, as we come to the end of the session. My daily mornings start at 5am with this course, and I am not sure what I am supposed to do now, that the course has come to an end. At the same time, I am really happy to see the gradual transition in myself, in terms of my programming skills. There are have bee many times when I used to laugh my heart out. Scott and Joe made it really engaging and kept us hooked.

On a more technical perspective, I would love to thank John for the wonderful Python documentation. The course was well structured and felt the topics were well covered. Especially, I come to realize how powerful lists could be from this course. Those examples in the documentation were really helpful.

Of course, there could be some areas that we can improve on.

1. The first area that i feel we could improve is, our over-reliance on simplegui. Although it is a very nice tool and helps to get things done, at some point, I started to feel we were spending most of the time on it. I do understand, you need some library of that sort to build games, but if it was some library like the PyGame, I think it would have been much better.

2. Another thing I feel that could be improved is, there is probably too much spoon feeding from the instructor's end. Although this is a beginner level course, providing the templates, and literally discussing the logic that needs to be implemented in the game, could have been avoided. If that is intentional for this distance education course, then it is OK, but we would love to have an advanced course, where we are let to do things more by ourselves.

Request:

Python for Game Development was awesome. Same way, I would love to see a course on Python, specifically for scripting. This is something, that is not taught anywhere. Learning this skill, I am very sure , our efficiency would be boosted.

On the whole, it was a wonderful experience. I am really thankful to the entire team for making this course a HUGE SUCCESS. Can't wait for the next course offering. :)"
9,"I am probably an atypical student. I am retired, in my seventies and took this course for fun and to try to keep my mind sharp. I have no intention of becoming a professional programmer. In my past, I have had experience with several programming languages including Python.

I thought this course had several advantages over other online programming instruction. First, it provides a browser-based Python programming environment called CodeSkuptor. This means that you don't need to download the Python language onto your computer and you can access the course from anywhere.

Second, the program is project-based. Each week you have to complete a programming project which is a game. Programming is a skill and you need to practice that skill. This course provides you with that practice in a fun and challenging way.

Third, it doesn't overwhelm the student with too much information. It only introduced the programming constructs you need to complete each weeks project. So you have a limited amount of conceptual information to master and you get to apply that knowledge in completing that week's project. I found the course (both Part 1 and Part 2) challenging and I spent a good deal of time learning the concepts and creating the programs, more than what was suggested.

I really think that some prior experience in programming in any language would be very helpful in completing this course.

Finally, the one weakness of this course is the difficulty in getting feedback. There is a forum for posting questions, but I found that getting answers to questions could take more than a week, and sometimes they never got answered. Also, this is a weak implementation of a forum, for which I blame Coursera, not instructors.

This course was developed some years ago and it continues to be offered, but with what appears to be less active student support than in the beginning. So often, I went on the web with my Python questions and found the answers I needed there.

If you take this course I recommend that you always do the exercises each week. They will teach you important concepts and programming techniques which will be useful in the weekly projects.

Overall, I would recommend this course for the intelligence of it's design and implementation with the caveats I have previously discussed."
10,"Before starting this review, I'd like to provide some context about myself.

I am a medical student with no prior programming experience. In fact, I'd go so far as to say that prior to ~2 years ago, I really disliked computers. However, something clicked in my head and I realized that everything I believed about computers was essentially wrong. Computing is a fundamental skill that every professional should have, at least at some level.

That being said, this course (part 1 and 2) has been simply amazing. It was one of the first courses I took when I began my journey into computer science. I did not take this course in isolation. Rather, I supplemented with textbooks and other resources, such MITs 6.001 and 6.002. courses, Think Python by Allen Downey, Intro to Programming with MATLAB (Vanderbilt). The beauty of this course is that it is truly meant for beginners. And it carries your attention the entire time because of the great teaching and projects along the way. It focuses on the fundamentals, which is exactly what a novice needs. From my perspective, trying to enter the field of CS feels like a gargantuan task, especially in today's world. There is simply too much to learn and it is next to impossible to know where to start. This course (and really the specialization) provides that backbone of fundamentals needed for someone new to the field to grab on to. The best advice I have is to just start here and see what happens. Again, important to supplement with other materials because this is not easy stuff. You have to take it seriously and be passionate about it. I had finished my third year of medical school and had serious ambivalence about my future career. I decided to take an independent study year to learn as much CS as possible (in the context of medical imaging). The problem was not having a clue where to start. This course was a life-saver. If you are truly sincere about learning this material, you will be compelled to reach out to other resources as you work your way through the course.

Can't say enough good things. Thanks to the course instructors - you guys were awesome."
